phi[deg], lam[deg], h[m] 
52.09727221841272,21.03153333279777,141.398586823605
52.09727216111064,21.031533144230153,141.39974895119667
52.097272120371336,21.031532955662534,141.4032782446593
52.097272085152944,21.031532767094923,141.40759659186006
52.09727208603574,21.031533228061544,141.41005479265004
52.09727211893464,21.031533177762707,141.40213536750525
52.09727206903157,21.03153299757823,141.4064585287124
52.09727206063766,21.031532805864288,141.41098771896213
52.09727211912999,21.0315332542456,141.40718780085444
52.09727213549742,21.031533177762707,141.40450253151357
52.09727210088447,21.03153332234535,141.4075010912493
52.09727215315812,21.031533182999517,141.40550724137574
